volume,pagina,book,value
2,615,Jr,8:3
2,616,Jr,8:5
2,617,Jr,8:6
2,618,Jr,8:8
2,620,Jr,8:13
2,623,Jr,8:18
2,626,Jr,9:2
2,627,Jr,9:2
2,628,Jr,9:4
2,628,Jr,9:5
2,629,Jr,9:6
2,631,Jr,9:7
2,632,Jr,9:9
2,633,Jr,9:14
2,635,Jr,9:25
2,636,Jr,10:6:7
2,637,Jr,10:9
2,638,Jr,10:13
2,640,Jr,10:18
2,641,Jr,10:20
2,642,Jr,10:24
2,643,Jr,10:25
2,645,Jr,11:2
2,649,Jr,11:13
2,650,Jr,11:14
2,652,Jr,11:15
2,653,Jr,11:15
2,655,Jr,11: 15
2,658,Jr,11:16
2,660,Jr,11:18
2,662,Jr,11:19
2,663,Jr,11:20
2,665,Jr,12:4
2,666,Jr,12:9
2,669,Jr,12:13
2,671,Jr,13:10
2,673,Jr,13:12
2,674,Jr,13:18
2,675,Jr,13:25
2,676,Jr,13:27
2,677,Jr,14:3
2,678,Jr,14:4
2,680,Jr,14:18
2,682,Jr,15:8
2,683,Jr,15:11
2,687,Jr,15:12
2,688,Jr,15:13
2,692,Jr,15:14
2,694,Jr,15:16
2,696,Jr,16:7
2,699,Jr,16:15
2,700,Jr,16:18
2,701,Jr,17:2
2,702,Jr,17:30
2,703,Jr,17:3
2,704,Jr,17:4
2,705,Jr,17:48
2,707,Jr,17:16
2,711,Jr,17:19
2,712,Jr,17:25
2,713,Jr,18:4
2,715,Jr,18:14
2,718,Jr,18:15
2,719,Jr,18:17
2,720,Jr,18:18
2,722,Jr,18:19
2,723,Jr,18:20
2,724,Jr,19:1
2,729,Jr,21:7
2,730,Jr,22:6
2,731,Jr,22:14
2,732,Jr,22:16
2,733,Jr,22:23
2,735,Jr,23:10
2,736,Jr,23:17
2,737,Jr,23:18
2,738,Jr,23:23:24
2,739,Jr,23:26
2,741,Jr,23:29
2,742,Jr,23:33
2,743,Jr,23:39
2,745,Jr,24:9
2,746,Jr,25:9
2,747,Jr,25:14
2,748,Jr,25:15
2,749,Jr,25:24
2,751,Jr,25:26
2,752,Jr,25:34
2,755,Jr,25:38
2,756,Jr,26:1
2,757,Jr,26:10
2,758,Jr,27:1
2,760,Jr,27:3
2,761,Jr,27:38
2,762,Jr,27:9
2,763,Jr,28:1
2,764,Jr,28:8
2,766,Jr,28:13
2,767,Jr,29:12
2,769,Jr,29:19
2,770,Jr,29:24
2,771,Jr,29:25
2,772,Jr,29:26
2,773,Jr,30:5
2,774,Jr,30:7
2,775,Jr,30:8
2,777,Jr,31:3
2,778,Jr,31:7
2,779,Jr,31:9
2,780,Jr,31:13
2,781,Jr,31:24
2,782,Jr,31:27
2,783,Jr,31:35
2,784,Jr,31:37
2,785,Jr,31:40
2,787,Jr,32:11
2,788,Jr,32:12
2,790,Jr,32:29
2,792,Jr,33:2
2,793,Jr,33:4
2,794,Jr,33:5
2,795,Jr,33:6
2,796,Jr,33:9
2,798,Jr,33:16
2,799,Jr,33:20
2,800,Jr,33:25
2,801,Jr,34:7
2,802,Jr,34:12
2,803,Jr,34:14
2,804,Jr,34:18
2,805,Jr,35:4
2,807,Jr,36:17
2,809,Jr,36:22
2,810,Jr,38:10
2,811,Jr,38:11
2,812,Jr,38:22
2,814,Jr,38:23
2,816,Jr,38:28
2,819,Jr,39:3
2,822,Jr,39:4
2,824,Jr,39:8
2,825,Jr,39:9
2,826,Jr,39:10
